,id,home_label,home_lat,home_lon,state
599192,7588939.0,8a288bb0204ffff,47.103,-119.313,Washington
599193,7588944.0,8a44c1458457fff,33.777,-83.701,Georgia
599194,7588946.0,8a2a1046969ffff,40.806,-74.124,New Jersey
599195,7588947.0,8a2a10429b37fff,40.941,-74.208,New Jersey
599196,7588950.0,8a274841e94ffff,42.795,-86.036,Michigan
599197,7588952.0,8a2aab6f0867fff,37.698,-77.62,Virginia
599198,7588953.0,8a44f0088187fff,30.361,-81.712,Florida
599199,7588955.0,8a2986a95217fff,36.283,-115.126,Nevada
599200,7588963.0,8a44e920242ffff,34.277,-87.546,Alabama
599201,7588966.0,8a44455a2c9ffff,30.249,-92.038,Louisiana
599202,7588967.0,8a274db327b7fff,43.057,-83.33,Michigan
599203,7588971.0,8a446b78cac7fff,32.199,-94.341,Texas
599204,7588972.0,8a44a1302557fff,26.122,-80.287,Florida
599205,7588983.0,8a48e8549aeffff,32.3,-111.034,Arizona
599206,7589017.0,8a264cad6687fff,36.608,-87.405,Kentucky
599207,7589035.0,8a44eb626b2ffff,34.449,-85.931,Alabama
599208,7589047.0,8a26cb833c77fff,32.655,-96.765,Texas
599209,7589081.0,8a264a71c0f7fff,35.217,-89.507,Tennessee
599210,7589082.0,8a2656463aaffff,39.129,-94.777,Kansas
599211,7589086.0,8a266455ec9ffff,41.616,-87.757,Illinois
599212,7589096.0,8a2ab38ea897fff,41.425,-81.655,Ohio
599213,7589106.0,8a44ca29104ffff,36.127,-83.483,Tennessee
599214,7589127.0,8a2a1074486ffff,40.616,-73.956,New York
599215,7589135.0,8a29a63ab297fff,33.684,-116.297,California
599216,7589138.0,8a48ebae009ffff,33.44,-111.781,Arizona
599217,7589141.0,8a2aaa0a6017fff,38.923,-78.123,Virginia
599218,7589163.0,8a44428c36f7fff,30.941,-90.454,Louisiana
599219,7589165.0,8a28b22a5a67fff,43.183,-112.343,Idaho
599220,7589166.0,8a26683411b7fff,37.718,-85.816,Kentucky
599221,7589167.0,8a44c1b02b07fff,33.551,-84.564,Georgia
599222,7589168.0,8a2696272317fff,40.353,-111.722,Utah
599223,7589171.0,8a26ce26896ffff,33.628,-97.317,Texas
599224,7589184.0,8a2a339a52d7fff,42.227,-71.146,Massachusetts
599225,7589196.0,8a29868ec6cffff,36.013,-115.072,Nevada
599226,7589197.0,8a29b6d66937fff,33.503,-112.277,Arizona
599227,7589207.0,8a446c3746e7fff,29.894,-95.474,Texas
599228,7589210.0,8a268cd0b52ffff,39.731,-104.841,Colorado
599229,7589213.0,8a2661b83157fff,39.829,-86.372,Indiana
599230,7589215.0,8a44e351089ffff,31.374,-84.175,Georgia
599231,7589229.0,8a26e3c6e79ffff,37.676,-97.359,Kansas
599232,7589240.0,8a265612e1a7fff,39.364,-94.356,Missouri
599233,7589254.0,8a26c934565ffff,32.316,-95.238,Texas
599234,7589274.0,8a26ca3988a7fff,32.649,-97.921,Texas
599235,7589276.0,8a2a331814cffff,41.915,-71.67,Rhode Island
599236,7589279.0,8a29a08a2c57fff,33.592,-117.238,California
599237,7589291.0,8a26cb92585ffff,32.845,-96.626,Texas
599238,7589300.0,8a264936d21ffff,34.615,-86.583,Alabama
599239,7589302.0,8a2a91a92427fff,39.262,-82.817,Ohio
599240,7589306.0,8a44ccda171ffff,33.929,-84.671,Georgia
599241,7589307.0,8a44f089b65ffff,30.057,-81.886,Florida
599242,7589316.0,8a2a89642a0ffff,35.853,-78.57,North Carolina
599243,7589334.0,8a26c86d171ffff,32.803,-97.078,Texas
599244,7589347.0,8a264a855147fff,35.688,-88.913,Tennessee
599245,7589351.0,8a2ad518baeffff,34.684,-76.907,North Carolina
599246,7589352.0,8a2649904427fff,35.466,-86.792,Tennessee
599247,7589355.0,8a444d68ddb7fff,33.471,-94.1,Texas
599248,7589358.0,8a264d43354ffff,36.069,-87.333,Tennessee
599249,7589361.0,8a2ab17630b7fff,41.154,-80.649,Ohio
599250,7589387.0,8a445c0ead2ffff,32.362,-90.023,Mississippi
599251,7589392.0,8a26ee8c5367fff,36.899,-95.921,Oklahoma
599252,7589399.0,8a2ab308d167fff,41.205,-82.14,Ohio
