,id,cluster,#move,#stay_move,#unique_loc,radius,area,stay_t,frequency,d_home,center,counts_near_home
1,7586761,3,47,9.4,13,0.04608051441707057,0.0032492059056646308,80.65205555555556,5,10.456896891267961,"(39.12475076757292, -76.6470106694144)",0
2,7586761,5,17,17.0,7,1.0781268279678846,0.0008437701470590882,86.3975,1,1462.2411308091318,"(26.23176395251619, -80.09092156638023)",0
3,7586761,4,15,7.5,6,4.661106956823276,0.003758021691837773,276.6673611111111,2,10.374399905225635,"(39.124204031273955, -76.64635100946808)",0
4,7586761,1,172,172.0,16,0.03004126641049396,0.002447778450246181,575.0913888888889,1,7.226604789526392,"(38.99273706903301, -76.62102217081795)",0
5,7586761,2,26,26.0,10,4.476552617246216,0.28170786647171997,839.9794444444444,1,4.16803832724664,"(39.02653487466441, -76.6165623605065)",4
0,7586762,0,42,2.1,10,0.6660028416588505,0.03154221617781111,4.546055555555556,20,5.103484097977856,"(41.22231292540299, -75.23815386158711)",1
1,7586762,1,85,3.5416666666666665,10,0.024206389049417472,0.0016154454896625333,17.95216435185185,24,5.025512608180834,"(41.22465891185744, -75.23645346950508)",0
2,7586762,2,53,1.7666666666666666,8,0.26307519227330056,0.010719306819350898,5.2800462962962955,30,4.74806379373119,"(41.226837351053945, -75.23831530130634)",0
3,7586762,3,114,6.333333333333333,13,1.3797310404304837,0.10176166834456418,22.48844135802469,18,1.2530571747066461,"(41.24759332126081, -75.2697034288342)",108
4,7586762,4,15,1.875,5,0.16168336308445666,0.0051677988600676095,4.141527777777777,8,5.2059423467683015,"(41.22300149876522, -75.23555042786408)",0
5,7586762,5,8,8.0,7,0.9328818384159774,0.042647460117699654,70.9525,1,4.887335601639241,"(41.22597570362633, -75.23710510127572)",0
6,7586762,6,12,6.0,9,0.37038601577417296,0.03284408185822318,135.8048611111111,2,4.854130157664735,"(41.22615258453789, -75.23742704435067)",0
0,7586771,0,190,38.0,28,1.2594414036057497,0.1308295990763299,106.15022222222224,5,1.0657134818262273,"(43.72275162133092, -85.49651996720802)",182
1,7586771,4,20,5.0,5,0.01829878104103136,0.0009123088351101724,13.32263888888889,4,37.67442887983576,"(44.0344254918532, -85.7119379986933)",0
2,7586771,5,62,20.666666666666668,16,10.641644064209938,2.6505587905758707,105.74620370370371,3,41.56262590565717,"(43.45794602858443, -85.85096536764584)",0
3,7586771,8,10,5.0,5,7.7889431984400135,0.3735480940603504,15.693055555555556,2,75.85323775869105,"(43.366116406347125, -84.70563060097827)",0
4,7586771,1,5,5.0,5,83.26227290212127,3.5907734112638314,22.7075,1,1229.5057201524792,"(34.106858332983535, -78.4788040326854)",0
5,7586771,2,20,20.0,11,3.6710964555178855,0.18473900799573165,62.22,1,1201.5183074756503,"(34.83380430999958, -77.55329040567288)",0
6,7586771,3,6,6.0,6,0.018126322928658335,0.0011057785648008484,14.852777777777778,1,114.40053493775018,"(44.75913179739995, -85.58245802760587)",0
7,7586771,6,25,25.0,7,20.564575524338863,1.1163180473592569,254.81083333333333,1,18.866891402485503,"(43.562333582690336, -85.49777869644294)",0
8,7586771,9,68,34.0,19,19.794569927417648,1.1291937307895712,346.3256944444444,2,44.61810182587271,"(43.339057508676675, -85.61211533476683)",0
9,7586771,7,10,10.0,4,28.790890957275856,0,85.43166666666667,1,22.361387538405104,"(43.544721362687696, -85.60123999772745)",0
0,7586779,0,24,8.0,10,21.745948754310312,0.765377875162491,121.15018518518518,3,1199.50844110261,"(30.687946645543484, -95.13939724900295)",0
1,7586779,1,7,7.0,4,6.915030188610238,0,68.14277777777778,1,299.82080846154736,"(27.508897750722532, -82.46016555761375)",0
2,7586779,4,6,6.0,6,16.903261206955726,0.9026480957526687,128.01333333333332,1,1225.8825319970008,"(30.74339151265037, -95.41588910412263)",0
3,7586779,5,6,6.0,4,0.4738051223012696,0,46.8525,1,1231.3030047270765,"(30.31218783751776, -95.45888735400037)",0
4,7586779,7,35,35.0,11,8.70987477277425,0.06777038190946587,701.6911111111111,1,124.28933624120779,"(29.15288214266653, -82.1859739943535)",0
5,7586779,8,59,59.0,12,2.7304175361405085,0.2235545361659816,842.3947222222222,1,2.664534399292403,"(30.196849043306504, -82.66030637481185)",53
6,7586779,2,11,11.0,5,7.9259677622873665,0.0007473968334839944,108.85722222222222,1,1239.949453520722,"(30.6801121125587, -95.56222006076712)",0
7,7586779,3,5,5.0,5,25.739988515362242,1.134407651054956,55.221666666666664,1,1197.9942183628611,"(30.663891033477494, -95.12323979529367)",0
8,7586779,6,2,2.0,3,,0,2.841666666666667,1,,"(nan, nan)",0
0,7586780,2,162,4.5,10,1.8100436104166948,0.21577335247235516,13.073757716049382,36,1.5783292285791855,"(41.72660384106777, -87.60897923169998)",159
1,7586780,4,99,2.8285714285714287,11,1.3443985609161517,0.19387184279617134,12.038841269841269,35,1.0066662614715305,"(41.72438059295838, -87.58829013255624)",95
2,7586780,3,50,12.5,12,3.5634823981343104,0.4714447273321452,311.13618055555554,4,4.0229640040562575,"(41.75249959412103, -87.63284319085061)",5
3,7586780,0,12,12.0,10,2.252626813371225,0.16245253634726284,635.1144444444444,1,1.757080943778624,"(41.738803676913875, -87.61169581059639)",0
4,7586780,1,5,5.0,4,54.42220411995435,0,54.03527777777778,1,3.9850939723227885,"(41.71157439451053, -87.63049134632233)",0
0,7586785,3,51,10.2,7,26.882409344247872,2.0608313288245164,275.0241666666667,5,96.71310511035819,"(31.405586935081146, -81.3241827475603)",0
1,7586785,1,18,2.0,8,0.2033554395593212,0.01480451229874209,6.223611111111111,9,0.08834815658239673,"(31.21628345546451, -82.3175985911122)",18
2,7586785,4,24,2.0,6,11.79037443059179,0.0015870575480412613,22.92789351851852,12,0.047941211267609675,"(31.21738355663776, -82.31823023999175)",22
3,7586785,2,31,1.8235294117647058,5,17.456650306471108,0.0006632031626563517,22.9852614379085,17,0.054197991163857255,"(31.217033512683233, -82.31856858615977)",29
4,7586785,0,58,2.5217391304347827,10,0.027280682982696966,0.001745166672885007,18.1763768115942,23,0.034335752064682826,"(31.21721994761155, -82.31825342786502)",58
